



Starting 1
2023-10-11 13:03:24.765972: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2023-10-11 13:03:24.766014: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2023-10-11 13:03:24.806317: E tensorflow/stream_executor/cuda/cuda_blas.cc:2981] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2023-10-11 13:03:25.570185: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-10-11 13:03:25.570291: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-10-11 13:03:25.570305: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-10-11 13:03:33.338220: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2023-10-11 13:03:33.338291: W tensorflow/stream_executor/cuda/cuda_driver.cc:263] failed call to cuInit: UNKNOWN ERROR (303)
2023-10-11 13:03:33.338348: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (templateubuntu20): /proc/driver/nvidia/version does not exist
INFO flwr 2023-10-11 13:03:33,424 | app.py:175 | Starting Flower simulation, config: ServerConfig(num_rounds=100, round_timeout=None)
2023-10-11 13:03:36,089	INFO worker.py:1621 -- Started a local Ray instance.
INFO flwr 2023-10-11 13:03:37,367 | app.py:210 | Flower VCE: Ray initialized with resources: {'CPU': 8.0, 'memory': 19026333696.0, 'object_store_memory': 9513166848.0, 'node:10.17.0.235': 1.0, 'node:__internal_head__': 1.0}
INFO flwr 2023-10-11 13:03:37,367 | app.py:224 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 1}
INFO flwr 2023-10-11 13:03:37,385 | app.py:270 | Flower VCE: Creating VirtualClientEngineActorPool with 8 actors
INFO flwr 2023-10-11 13:03:37,385 | server.py:89 | Initializing global parameters
INFO flwr 2023-10-11 13:03:37,385 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2023-10-11 13:03:41,854 | server.py:280 | Received initial parameters from one random client
INFO flwr 2023-10-11 13:03:41,854 | server.py:91 | Evaluating initial parameters
INFO flwr 2023-10-11 13:03:53,654 | server.py:94 | initial parameters (loss, other metrics): 0.7249898910522461, {'accuracy': 0.3962843120098114}
INFO flwr 2023-10-11 13:03:53,654 | server.py:104 | FL starting
DEBUG flwr 2023-10-11 13:03:53,655 | server.py:222 | fit_round 1: strategy sampled 19 clients (out of 19)
[2m[36m(DefaultActor pid=3232829)[0m /home/admin/miniconda3/envs/tf/lib/python3.9/site-packages/sklearn/metrics/_classification.py:1469: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 due to no predicted samples. Use `zero_division` parameter to control this behavior.
[2m[36m(DefaultActor pid=3232829)[0m   _warn_prf(average, modifier, msg_start, len(result))
[2m[36m(DefaultActor pid=3232836)[0m /home/admin/miniconda3/envs/tf/lib/python3.9/site-packages/sklearn/metrics/_classification.py:1469: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 due to no predicted samples. Use `zero_division` parameter to control this behavior.
[2m[36m(DefaultActor pid=3232836)[0m   _warn_prf(average, modifier, msg_start, len(result))
[2m[36m(DefaultActor pid=3232832)[0m /home/admin/miniconda3/envs/tf/lib/python3.9/site-packages/sklearn/metrics/_classification.py:1469: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 due to no predicted samples. Use `zero_division` parameter to control this behavior.
[2m[36m(DefaultActor pid=3232832)[0m   _warn_prf(average, modifier, msg_start, len(result))
DEBUG flwr 2023-10-11 13:04:49,769 | server.py:236 | fit_round 1 received 19 results and 0 failures
WARNING flwr 2023-10-11 13:04:49,801 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
INFO flwr 2023-10-11 13:05:01,555 | server.py:125 | fit progress: (1, 0.588127613067627, {'accuracy': 0.7070977687835693}, 67.9007182699861)
DEBUG flwr 2023-10-11 13:05:01,556 | server.py:173 | evaluate_round 1: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:05:05,467 | server.py:187 | evaluate_round 1 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:05:05,468 | server.py:222 | fit_round 2: strategy sampled 19 clients (out of 19)
[2m[36m(DefaultActor pid=3232828)[0m /home/admin/miniconda3/envs/tf/lib/python3.9/site-packages/sklearn/metrics/_classification.py:1469: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 due to no predicted samples. Use `zero_division` parameter to control this behavior.
[2m[36m(DefaultActor pid=3232828)[0m   _warn_prf(average, modifier, msg_start, len(result))
DEBUG flwr 2023-10-11 13:05:59,672 | server.py:236 | fit_round 2 received 19 results and 0 failures
INFO flwr 2023-10-11 13:06:10,668 | server.py:125 | fit progress: (2, 0.5982657074928284, {'accuracy': 0.7250978350639343}, 137.01302987500094)
DEBUG flwr 2023-10-11 13:06:10,668 | server.py:173 | evaluate_round 2: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:06:14,490 | server.py:187 | evaluate_round 2 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:06:14,490 | server.py:222 | fit_round 3: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:07:08,209 | server.py:236 | fit_round 3 received 19 results and 0 failures
INFO flwr 2023-10-11 13:07:19,162 | server.py:125 | fit progress: (3, 0.59636390209198, {'accuracy': 0.7297090888023376}, 205.50759282999206)
DEBUG flwr 2023-10-11 13:07:19,162 | server.py:173 | evaluate_round 3: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:07:22,635 | server.py:187 | evaluate_round 3 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:07:22,635 | server.py:222 | fit_round 4: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:08:16,930 | server.py:236 | fit_round 4 received 19 results and 0 failures
INFO flwr 2023-10-11 13:08:27,970 | server.py:125 | fit progress: (4, 0.5904809832572937, {'accuracy': 0.7396210432052612}, 274.31575324200094)
DEBUG flwr 2023-10-11 13:08:27,971 | server.py:173 | evaluate_round 4: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:08:31,439 | server.py:187 | evaluate_round 4 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:08:31,440 | server.py:222 | fit_round 5: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:09:25,600 | server.py:236 | fit_round 5 received 19 results and 0 failures
INFO flwr 2023-10-11 13:09:36,677 | server.py:125 | fit progress: (5, 0.5828090906143188, {'accuracy': 0.743224024772644}, 343.02224156301236)
DEBUG flwr 2023-10-11 13:09:36,677 | server.py:173 | evaluate_round 5: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:09:39,927 | server.py:187 | evaluate_round 5 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:09:39,927 | server.py:222 | fit_round 6: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:10:34,610 | server.py:236 | fit_round 6 received 19 results and 0 failures
INFO flwr 2023-10-11 13:10:46,550 | server.py:125 | fit progress: (6, 0.5806546807289124, {'accuracy': 0.7477981448173523}, 412.8951269860263)
DEBUG flwr 2023-10-11 13:10:46,550 | server.py:173 | evaluate_round 6: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:10:49,951 | server.py:187 | evaluate_round 6 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:10:49,951 | server.py:222 | fit_round 7: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:11:44,088 | server.py:236 | fit_round 7 received 19 results and 0 failures
INFO flwr 2023-10-11 13:11:55,081 | server.py:125 | fit progress: (7, 0.5814865231513977, {'accuracy': 0.751630961894989}, 481.42633461602964)
DEBUG flwr 2023-10-11 13:11:55,081 | server.py:173 | evaluate_round 7: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:11:58,604 | server.py:187 | evaluate_round 7 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:11:58,604 | server.py:222 | fit_round 8: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:12:52,898 | server.py:236 | fit_round 8 received 19 results and 0 failures
INFO flwr 2023-10-11 13:13:03,903 | server.py:125 | fit progress: (8, 0.5808197259902954, {'accuracy': 0.7567241191864014}, 550.2485392109957)
DEBUG flwr 2023-10-11 13:13:03,903 | server.py:173 | evaluate_round 8: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:13:07,331 | server.py:187 | evaluate_round 8 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:13:07,331 | server.py:222 | fit_round 9: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:14:02,454 | server.py:236 | fit_round 9 received 19 results and 0 failures
INFO flwr 2023-10-11 13:14:13,504 | server.py:125 | fit progress: (9, 0.5818634033203125, {'accuracy': 0.7548040151596069}, 619.8495866939775)
DEBUG flwr 2023-10-11 13:14:13,504 | server.py:173 | evaluate_round 9: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:14:16,926 | server.py:187 | evaluate_round 9 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:14:16,926 | server.py:222 | fit_round 10: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:15:10,972 | server.py:236 | fit_round 10 received 19 results and 0 failures
INFO flwr 2023-10-11 13:15:22,058 | server.py:125 | fit progress: (10, 0.5847947597503662, {'accuracy': 0.7528393864631653}, 688.4037661799812)
DEBUG flwr 2023-10-11 13:15:22,059 | server.py:173 | evaluate_round 10: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:15:25,486 | server.py:187 | evaluate_round 10 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:15:25,486 | server.py:222 | fit_round 11: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:16:19,602 | server.py:236 | fit_round 11 received 19 results and 0 failures
INFO flwr 2023-10-11 13:16:30,642 | server.py:125 | fit progress: (11, 0.5884267091751099, {'accuracy': 0.7519349455833435}, 756.987601951987)
DEBUG flwr 2023-10-11 13:16:30,642 | server.py:173 | evaluate_round 11: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:16:34,103 | server.py:187 | evaluate_round 11 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:16:34,103 | server.py:222 | fit_round 12: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:17:28,947 | server.py:236 | fit_round 12 received 19 results and 0 failures
INFO flwr 2023-10-11 13:17:39,979 | server.py:125 | fit progress: (12, 0.5898422002792358, {'accuracy': 0.7474645376205444}, 826.3245324100135)
DEBUG flwr 2023-10-11 13:17:39,979 | server.py:173 | evaluate_round 12: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:17:43,507 | server.py:187 | evaluate_round 12 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:17:43,508 | server.py:222 | fit_round 13: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:18:37,285 | server.py:236 | fit_round 13 received 19 results and 0 failures
INFO flwr 2023-10-11 13:18:48,273 | server.py:125 | fit progress: (13, 0.5904311537742615, {'accuracy': 0.741696834564209}, 894.618836403999)
DEBUG flwr 2023-10-11 13:18:48,274 | server.py:173 | evaluate_round 13: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:18:51,802 | server.py:187 | evaluate_round 13 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:18:51,802 | server.py:222 | fit_round 14: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:19:46,010 | server.py:236 | fit_round 14 received 19 results and 0 failures
INFO flwr 2023-10-11 13:19:57,114 | server.py:125 | fit progress: (14, 0.5906388759613037, {'accuracy': 0.7430905699729919}, 963.458977288974)
DEBUG flwr 2023-10-11 13:19:57,114 | server.py:173 | evaluate_round 14: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:20:00,580 | server.py:187 | evaluate_round 14 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:20:00,580 | server.py:222 | fit_round 15: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:20:55,051 | server.py:236 | fit_round 15 received 19 results and 0 failures
INFO flwr 2023-10-11 13:21:06,099 | server.py:125 | fit progress: (15, 0.5895561575889587, {'accuracy': 0.7416746020317078}, 1032.4443644189741)
DEBUG flwr 2023-10-11 13:21:06,099 | server.py:173 | evaluate_round 15: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:21:09,632 | server.py:187 | evaluate_round 15 received 0 results and 19 failures
DEBUG flwr 2023-10-11 13:21:09,632 | server.py:222 | fit_round 16: strategy sampled 19 clients (out of 19)
DEBUG flwr 2023-10-11 13:22:04,067 | server.py:236 | fit_round 16 received 19 results and 0 failures
INFO flwr 2023-10-11 13:22:15,123 | server.py:125 | fit progress: (16, 0.5921295285224915, {'accuracy': 0.7348763346672058}, 1101.4685753199738)
